Potravina;Bílkoviny;Uhlohydráty;Tuky;Energie
;(g/100g);(g/100g);(g/100g);(kcal/100g)
;;;;
lněná semínka;22;13;40;485,4
losos obecný;20,29;0,1;11,29;212,4
losos uzený;22,07;0,1;9,13;170,9
losos v oleji;22,2;0;32,7;378,7
losos ve vlastní šťávě;20,76;0,51;4,68;127,2
lososová drť;8,36;0,16;51,47;503,73
loupák s ořechovou náplní;7;56;15,8;389,7
loupák sladký;7,3;55,5;15,7;389,7
loupák slaný;7,3;52,3;16,6;388,5
luncheon meat;12,96;4,83;26,59;307
luncheon meat drůbeží;14,28;7,14;9,82;156
luncheon meat kuřecí;12;6,9;17,8;236,5
maďarský perkelt - konzerva;7;3,2;8,2;114,6
maizena;0,9;80,4;0,1;317,2
majolka;2,04;1,11;83,55;764,1
majonéza - průměr;1,7;2,7;71,2;648,1
majonéza light;0,7;3;50,7;459,3
mák;19,85;22,45;46,67;541,9
makovec;7,35;50;11,3;332,2
makrela obecná;11,37;0,06;6,57;104,8
makrela pečenáč;16;3,5;14;220,1
makrela syrová (Atlantický oceán);18,59;0;13,89;205
makrela syrová (Španělsko);19,28;0;6,29;139
makrela syrová (Tichý oceán);20,07;0;7,89;158
makrela uzená;14,21;0,07;10,82;182,2
makrela v aspiku;13,3;1,5;6,9;123
makrela v rajčatové omáčce;14,25;3;7,35;135
makrela ve vlastní šťávě;15,2;0,1;14,9;199
Malcao - nápoj;2,6;8,93;0,4;50,5
maliny;1,14;12,84;0,86;30,5
mandarinka;0,76;9,39;0,3;43,5
mandle;20,95;14,4;54,67;635,7
mandle v čokoládě;12,19;42,7;38,08;520,6
mango;0,6;16,45;0,45;62
maracuja;0,6;9;0;39
marmeláda - směs;0,4;51,7;0,2;217,7
marmeláda borůvková;0,28;63,35;0,25;241
marmeláda jahodová;0,49;63,5;0,27;240
marmeláda malinová;0,4;60,3;0,3;229,9
marmeláda meruňková;0,42;63,8;0,1;246
marmeláda rybízová;0,4;59,7;0,2;230,6
marmeláda višňová;0,56;63,87;0,22;243
máslo čerstvé;0,7;0,52;82,58;734
máslo nízkokalorické;2,7;1,7;53,5;512
máslo pomazánkové;3,8;6,2;35;355
máslo rostlinné Alfa;0;0;60;531,1
máslo rostlinné Diana;0;0;40;354,1
máslo rostlinné Flora;0,1;0,3;70;629,2
máslo rostlinné Flora light;0;0;40;354,1
máslo rostlinné Linco light;0;0;40;354,1
máslo rostlinné Perla;0;0;40;354,1
máslo rostlinné Perla Tip;0;0;25;221,3
máslo rostlinné Rama máslová;0,1;0,3;75;669,9
máslo výběrové;0,68;0,45;82,9;745,3
máslo Zlatá Haná;0;0;77;681,8
maso - bažant;14,76;0,26;1,6;74,07
maso - bažant;11,7;0,2;1,4;59,8
maso - bažantí hruď;18,6;0,19;1,95;90,38
maso - bažantí stehno;17,76;0,22;1,89;88,69
maso - cikánská pečeně;19,2;0,1;22,1;278,5
maso - debrecínská pečeně;19,7;0,1;19,8;257,4
maso - holub;12,4;0,3;0;56,5
maso - holub;12,4;0,3;0,6;56,5
maso - jelen;20,6;0;3,3;112,2
maso - kachna divoká;22,7;0,5;3,1;122,2
maso - koroptev;23;0,5;1,1;117,2
maso drůbeží - drůbky;22,5;0;3,2;124,6
maso hovězí - bok;19,12;0,15;0,6;180
maso hovězí - držky;15,5;0;1,7;80,6
maso hovězí - jazyk;16,4;0,4;16,6;220,3
maso hovězí - jazyk uzený;19,1;0;23,9;296,2
maso hovězí - kližka;13,6;0;5,9;107,7
maso hovězí - konzerva;16,6;0,1;10,3;159,8
maso hovězí - krk;20,9;0;5,3;133
maso hovězí - kýta;20,6;0;4,5;128
maso hovězí - ledvinky;15;0,9;8,1;139,2
maso hovězí - mozek;10,4;0,8;8,5;121,3
maso hovězí - plec;13,5;0;7,5;122,2
maso hovězí - plec dušená;24,55;0,1;7,7;167,9
maso hovězí - plec pečená;31,4;0,1;10,5;216,5
maso hovězí - plíce;17,1;0,6;3,1;97,1
maso hovězí - přední;12,5;0;13;165,3
maso hovězí - roštěnka;28,8;0,1;13,9;240,7
maso hovězí - svíčková;20,63;0,29;7,6;148,8
maso hovězí - svíčková pečeně;25,86;0,1;17,61;262,3
maso hovězí - tučné;16,3;0;28;320,8
maso hovězí - ve vlastní šťávě;18,94;0,1;11,76;165
maso hovězí - zadní;15;0;9,8;147,6
maso hovězí - žebra;19,3;0;14,8;184,7
maso hovězí dušené;14,97;6,58;20,81;271,7
maso hovězí libové;20,71;0,5;5,95;132,56
maso hovězí pečené;19,99;0,24;9,93;170,3
maso hovězí přední vařené;26,28;0,19;4,99;150,8
maso hovězí vařené;23,39;0,35;7,42;161,9
maso hovězí zadní dušené;11,72;0,2;6,7;108
maso hovězí zadní pečené;13,35;0,1;7,25;119,1
maso hovězí zadní vařené;32,46;0,2;2,14;150
maso husí;10,71;0,15;25,15;278,7
maso husí - prsa pečená;26,53;0,09;19,08;278,2
maso husí - stehno pečené;20,35;0,09;21,98;279,6
maso husí pečené;17,18;0,09;41,24;410,7
